W,          MFPT(ext fall),     MFPT(ext summer),   Difference
0.01,       0.241004782919829,  0.2410048013589124, -1.8439083399046652e-08
0.1,        0.241564466300212,  0.241564466300212,  0.0
1.0,        0.2469839194519939, 0.2469839194519939, 0.0
10.0,       0.2877230456863917, 0.2877230456863917, 0.0
100.0,      0.3818135394510411, 0.3818135394510411, 0.0
1000.0,     0.4147680866390518, 0.4147703103113837, -2.2236723319357665e-06
10000.0,    0.4186555845071701, 0.4186555845071701, 0.0


W,          MFPT (ext fall),    MFPT (ext summer),  Difference
0.01,       0.2410671954766617, 0.2410672140226296, -1.854596790029639e-08
0.1,        0.2421883373174169, 0.2421883373174169, 0.0
1.0,        0.2531979500901933, 0.2531979500901933, 0.0
10.0,       0.3450861162612975, 0.3450861162612975, 0.0
100.0,      0.647974909188192,  0.647974909188192,  0.0
1000.0,     0.8287044002611637, 0.8287044002611637, 0.0
10000.0,    0.8552203238103436, 0.855252403280212,  -3.2079469868384614e-05


W,          MFPT (ext fall),    MFPT (ext summer),   Difference
0.01,       0.2411920547687258, 0.241192073529956,  -1.8761230208275137e-08
0.1,        0.2434394993050722, 0.2434395227331567, -2.3428084500176638e-08
1.0,        0.2659560272830646, 0.2659560272830646, 0.0
10.0,       0.4695885171628091, 0.4695885171628091, 0.0
100.0,      1.2561097672099966, 1.2561097672099966, 0.0
1000.0,     1.6211452440599126, 1.6213683079904735, -0.00022306393056092944
10000.0,    1.6323406322614515, 1.6325697263144077, -0.00022909405295612473
